x, y, z, Activity
4,-2.232136,-65,BI_EDGE
5,-2.229262,-65,BI_EDGE
6,-2.215034,-65,NONE
-3,-2.240913,-64,NONE
-2,-2.240913,-64,NONE
-1,-2.240913,-64,BI_EDGE
0,-2.240913,-64,BI_EDGE
1,-2.225236,-64,BI_EDGE
2,-2.209558,-64,BI_EDGE
3,-2.193879,-64,BI_EDGE
4,-2.240827,-64,BI_EDGE
5,-2.226599,-64,BI_EDGE
6,-2.21237,-64,NONE
-3,-2.240913,-63,NONE
-2,-2.240913,-63,NONE
-1,-2.240913,-63,BI_EDGE
0,-2.240913,-63,BI_EDGE
1,-2.225236,-63,BI_EDGE
2,-2.209558,-63,BI_EDGE
3,-2.201823,-63,BI_EDGE
4,-2.238163,-63,BI_EDGE
5,-2.223935,-63,BI_EDGE
6,-2.209706,-63,NONE
-3,-2.240913,-62,NONE
-2,-2.240913,-62,NONE
-1,-2.240913,-62,BI_EDGE
0,-2.240913,-62,BI_EDGE
1,-2.225236,-62,BI_EDGE
2,-2.209557,-62,BI_EDGE
3,-2.210895,-62,BI_EDGE
4,-2.235499,-62,BI_EDGE
5,-2.221271,-62,BI_EDGE
6,-2.207043,-62,NONE
-3,-2.240913,-61,NONE
-2,-2.240913,-61,NONE
-1,-2.240913,-61,BI_EDGE
0,-2.240913,-61,BI_EDGE
1,-2.225236,-61,BI_EDGE
2,-2.209557,-61,BI_EDGE
3,-2.219967,-61,BI_EDGE
4,-2.232842,-61,BI_EDGE
5,-2.218607,-61,BI_EDGE
6,-2.204379,-61,NONE
-3,-2.240913,-60,NONE
-2,-2.240913,-60,NONE
-1,-2.240913,-60,BI_EDGE
0,-2.240913,-60,BI_EDGE
1,-2.225236,-60,BI_EDGE
2,-2.209557,-60,BI_EDGE
3,-2.229039,-60,BI_EDGE
4,-2.230178,-60,BI_EDGE
5,-2.215944,-60,BI_EDGE
6,-2.201715,-60,NONE
-3,-2.240913,-59,NONE
-2,-2.240913,-59,NONE
-1,-2.240913,-59,BI_EDGE
0,-2.240913,-59,BI_EDGE
1,-2.225236,-59,BI_EDGE
2,-2.209557,-59,BI_EDGE
3,-2.238111,-59,BI_EDGE
4,-2.227514,-59,BI_EDGE
5,-2.21328,-59,BI_EDGE
6,-2.199051,-59,NONE
-3,-2.240913,-58,NONE
-2,-2.240913,-58,NONE
-1,-2.240913,-58,BI_EDGE
0,-2.240913,-58,BI_EDGE
1,-2.225236,-58,BI_EDGE
2,-2.209557,-58,BI_EDGE
3,-2.239073,-58,BI_EDGE
4,-2.224845,-58,BI_EDGE
5,-2.210616,-58,BI_EDGE
6,-2.196388,-58,NONE
-3,-2.240913,-57,NONE
-2,-2.240913,-57,NONE
-1,-2.240913,-57,BI_EDGE
0,-2.240913,-57,BI_EDGE
1,-2.225236,-57,BI_EDGE
2,-2.209557,-57,BI_EDGE
3,-2.236409,-57,BI_EDGE
4,-2.222181,-57,BI_EDGE
5,-2.207952,-57,BI_EDGE
6,-2.193724,-57,NONE
-3,-2.240913,-56,NONE
-2,-2.240913,-56,NONE
-1,-2.240913,-56,BI_EDGE
0,-2.240913,-56,BI_EDGE
1,-2.225236,-56,BI_EDGE
2,-2.216869,-56,BI_EDGE
3,-2.233745,-56,BI_EDGE
4,-2.219517,-56,BI_EDGE
5,-2.205289,-56,BI_EDGE
6,-2.19106,-56,NONE
-3,-2.240913,-55,NONE
-2,-2.240913,-55,NONE
-1,-2.240913,-55,BI_EDGE
0,-2.240913,-55,BI_EDGE
1,-2.225235,-55,BI_EDGE
2,-2.225941,-55,BI_EDGE
3,-2.231081,-55,BI_EDGE
4,-2.216853,-55,BI_EDGE
5,-2.202649,-55,BI_EDGE
6,-2.188396,-55,NONE
-3,-2.240913,-54,NONE
-2,-2.240913,-54,NONE
-1,-2.240913,-54,BI_EDGE
0,-2.240913,-54,BI_EDGE
1,-2.225235,-54,BI_EDGE
2,-2.235013,-54,BI_EDGE
3,-2.228418,-54,BI_EDGE
4,-2.21419,-54,BI_EDGE
5,-2.199962,-54,BI_EDGE
6,-2.185733,-54,NONE
-3,-2.240913,-53,NONE
-2,-2.240913,-53,NONE
-1,-2.240913,-53,BI_EDGE
0,-2.240913,-53,BI_EDGE
1,-2.225235,-53,BI_EDGE
2,-2.239982,-53,BI_EDGE
3,-2.225754,-53,BI_EDGE
4,-2.211526,-53,BI_EDGE
5,-2.197298,-53,BI_EDGE
6,-2.183069,-53,BI_EDGE
-3,-2.240913,-52,NONE
-2,-2.240913,-52,NONE
-1,-2.240913,-52,BI_EDGE
0,-2.240913,-52,BI_EDGE
1,-2.225235,-52,BI_EDGE
2,-2.237319,-52,BI_EDGE
3,-2.22309,-52,BI_EDGE
4,-2.208862,-52,BI_EDGE
5,-2.194635,-52,BI_EDGE
6,-2.180405,-52,BI_EDGE
-3,-2.240913,-51,NONE
-2,-2.240913,-51,NONE
-1,-2.240913,-51,BI_EDGE
0,-2.240913,-51,BI_EDGE
1,-2.225235,-51,BI_EDGE
2,-2.234655,-51,BI_EDGE
3,-2.220427,-51,BI_EDGE
4,-2.206199,-51,BI_EDGE
5,-2.191972,-51,BI_EDGE
6,-2.177742,-51,BI_EDGE
-3,-2.240913,-50,NONE
-2,-2.240913,-50,NONE
-1,-2.240913,-50,BI_EDGE
0,-2.240913,-50,NAV_NODE
1,-2.225235,-50,NAV_NODE
2,-2.231991,-50,NAV_NODE
3,-2.217763,-50,NAV_NODE
4,-2.203535,-50,NAV_NODE
5,-2.189306,-50,BI_EDGE
6,-2.175078,-50,BI_EDGE
-3,-2.240913,-49,NONE
-2,-2.240913,-49,NONE
-1,-2.240913,-49,BI_EDGE
0,-2.240913,-49,NAV_NODE
1,-2.231915,-49,NAV_NODE
2,-2.229327,-49,NAV_NODE
3,-2.215099,-49,NAV_NODE
4,-2.200871,-49,NAV_NODE
5,-2.186643,-49,NAV_NODE
6,-2.172414,-49,BI_EDGE
-3,-2.240913,-48,NONE
-2,-2.240913,-48,NONE
-1,-2.240913,-48,NAV_NODE
0,-2.240913,-48,NAV_NODE
1,-2.240892,-48,NAV_NODE
2,-2.226664,-48,NAV_NODE
3,-2.212435,-48,NAV_NODE
4,-2.198207,-48,NAV_NODE
5,-2.18398,-48,NAV_NODE
6,-2.169765,-48,BI_EDGE
-3,-2.240913,-47,NONE
-2,-2.240913,-47,NONE
-1,-2.240913,-47,NAV_NODE
0,-2.240913,-47,NAV_NODE
1,-2.238228,-47,NAV_NODE
2,-2.224,-47,NAV_NODE
3,-2.209772,-47,NAV_NODE
4,-2.195544,-47,NAV_NODE
5,-2.181316,-47,NAV_NODE
6,-2.169775,-47,NAV_NODE
-3,-2.240913,-46,NONE
-2,-2.240913,-46,NONE
-1,-2.240913,-46,NAV_NODE
0,-2.240913,-46,NAV_NODE
1,-2.235564,-46,NAV_NODE
2,-2.221336,-46,NAV_NODE
3,-2.207108,-46,NAV_NODE
4,-2.19288,-46,NAV_NODE
5,-2.178652,-46,NAV_NODE
6,-2.169775,-46,BI_EDGE
-3,-2.240913,-45,NONE
-2,-2.240913,-45,NONE
-1,-2.240913,-45,BI_EDGE
0,-2.240913,-45,NAV_NODE
1,-2.232901,-45,NAV_NODE
2,-2.218673,-45,NAV_NODE
3,-2.204444,-45,NAV_NODE
4,-2.190217,-45,NAV_NODE
5,-2.175988,-45,NAV_NODE
6,-2.169774,-45,BI_EDGE
-3,-2.240913,-44,NONE
-2,-2.240913,-44,NONE
-1,-2.240913,-44,BI_EDGE
0,-2.240913,-44,BI_EDGE
1,-2.230237,-44,NAV_NODE
2,-2.216009,-44,NAV_NODE
3,-2.201781,-44,NAV_NODE
4,-2.187553,-44,NAV_NODE
5,-2.173325,-44,BI_EDGE
6,-2.169774,-44,BI_EDGE
-3,-2.240913,-43,NONE
-2,-2.240913,-43,NONE
-1,-2.240913,-43,BI_EDGE
0,-2.240913,-43,BI_EDGE
1,-2.227573,-43,BI_EDGE
2,-2.213345,-43,BI_EDGE
3,-2.199117,-43,BI_EDGE
4,-2.184889,-43,BI_EDGE
5,-2.170661,-43,BI_EDGE
6,-2.169773,-43,BI_EDGE
-3,-2.240913,-42,NONE
-2,-2.240913,-42,NONE
-1,-2.240913,-42,BI_EDGE
0,-2.240913,-42,BI_EDGE
1,-2.229101,-42,BI_EDGE
2,-2.214873,-42,BI_EDGE
3,-2.200644,-42,BI_EDGE
4,-2.186417,-42,BI_EDGE
5,-2.172188,-42,BI_EDGE
6,-2.169773,-42,BI_EDGE
-3,-2.240913,-41,NONE
-2,-2.240913,-41,NONE
-1,-2.240913,-41,BI_EDGE
0,-2.240913,-41,BI_EDGE
1,-2.232724,-41,BI_EDGE
2,-2.218496,-41,BI_EDGE
3,-2.204268,-41,BI_EDGE
4,-2.19004,-41,BI_EDGE
5,-2.175812,-41,BI_EDGE
6,-2.169773,-41,BI_EDGE
-3,-2.240913,-40,NONE
-2,-2.240913,-40,NONE
-1,-2.240913,-40,BI_EDGE
0,-2.240913,-40,BI_EDGE
1,-2.236347,-40,BI_EDGE
2,-2.222119,-40,BI_EDGE
3,-2.207891,-40,BI_EDGE
4,-2.193663,-40,BI_EDGE
5,-2.179435,-40,BI_EDGE
6,-2.169773,-40,BI_EDGE
-3,-2.240913,-39,NONE
-2,-2.240913,-39,NONE
-1,-2.240913,-39,BI_EDGE
0,-2.240913,-39,BI_EDGE
